WS,WG,category,definition,gloss,uni_lemma
item_1,item_12,sounds,tutú,choo choo,choo choo
item_2,item_11,sounds,quiquiriquí,cockadoodledoo,cockadoodledoo
item_3,item_10,sounds,¡pum!,bang,bang bang
item_4,,sounds,pipí (sonido de carro/coche),honk honk,honk honk
item_5,item_8,sounds,pío pío,tweet tweet,tweet tweet
item_6,item_7,sounds,muu,moo,moo
item_7,item_6,sounds,miau,meow,meow
item_8,item_5,sounds,guaguá,woof woof,woof woof
item_9,item_4,sounds,cuacuá,quack quack,quack quack
item_10,item_3,sounds,bee/mee,baa baa,baa baa
item_11,item_1,sounds,¡am!,yum yum,yum yum
item_12,item_2,sounds,¡ay!,ouch,ouch
item_13,,animals,víbora,viper,snake
item_14,item_48,animals,venado,deer,deer
item_15,item_47,animals,vaca,cow,cow
item_16,item_46,animals,tortuga,turtle,turtle
item_17,item_45,animals,tigre,tiger,tiger
item_18,item_44,animals,ratón,mouse,mouse
item_19,item_43,animals,rana,frog,frog
item_20,item_42,animals,puerco,pig,pig
item_21,item_41,animals,pollito,chick,chick
item_22,item_40,animals,pingüino,penguin,penguin
item_23,item_39,animals,pescado,fish,fish (animal)
item_24,item_38,animals,perro,dog,dog
item_25,item_37,animals,pato,duck,duck
item_26,item_36,animals,pájaro,bird,bird
item_27,item_35,animals,oso,bear,bear
item_28,,animals,mosco,mosquito,mosquito
item_29,item_34,animals,mosca,fly,fly (animal)
item_30,item_33,animals,mono,monkey,monkey
item_31,item_32,animals,mariposa,butterfly,butterfly
item_32,item_31,animals,lobo,wolf,wolf
item_33,item_30,animals,león,lion,lion
item_34,item_29,animals,jirafa,giraffe,giraffe
item_35,item_28,animals,hormiga,ant,ant
item_36,item_27,animals,hipopótamo,hippotmo,hippopotamus
item_37,item_26,animals,guajolote,turkey,turkey
item_38,item_25,animals,gato,cat,cat
item_39,,animals,ganso,goose,goose
item_40,item_24,animals,gallina,hen,hen
item_41,,animals,foca,seal,seal (animal)
item_42,item_23,animals,elefante,elephant,elephant
item_43,item_22,animals,conejo,rabbit,bunny
item_44,,animals,cocodrilo,crocodile,crocodile
item_45,,animals,cebra,zebra,zebra
item_46,item_20,animals,caballo,horse,horse
item_47,item_19,animals,burro,donkey,donkey
item_48,item_18,animals,búho,owl,owl
item_49,,animals,buey,ox,ox
item_50,item_17,animals,borrego,lamb,lamb
item_51,,animals,bicho,bug,bug
item_52,item_16,animals,ardilla,squirrel,squirrel
item_53,item_15,animals,araña,spider,spider
item_54,item_14,animals,animal,animal,animal
item_55,item_13,animals,abeja,bee,bee
item_56,,vehicles,trineo,sled,sled
item_57,,vehicles,triciclo (vehículo),tricycle,tricycle
item_58,item_57,vehicles,tren,train,train
item_59,,vehicles,tractor,tractor,tractor
item_60,item_56,vehicles,moto,motorbike,motorcycle
item_61,,vehicles,helicóptero,helicopter,helicopter
item_62,item_55,vehicles,carro/coche,car,car
